ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
AFL,2026-03-05,2026-06-05,2026-06-08,117.32,109.712,-6.48%,132.536,109.712,PENDING,,,118.23,8.35,0.41,1.71,1.21,10.85,8.56,15.93
ALL,2026-05-21,2026-06-23,2026-06-24,232.48,213.0479,-8.36%,271.3442,213.0479,PENDING,,,231.6,12.42,-0.83,4.48,9.4,13.73,12.35,20.51
AME,2026-03-05,2026-06-22,2026-06-23,237.63,225.0425,-5.30%,262.8051,225.0425,PENDING,,,240.95,17.72,2.37,4.19,5.17,12.07,17.2,35.27
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,165.45,26.27,2.29,0.32,4.71,22.55,26.56,74.21
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,279.93,14.87,0.43,-0.65,-3.34,-2.9,15.92,2.29
ARM,2026-06-09,2026-06-18,2026-06-22,440.03,303.1942,-31.10%,713.7017,303.1942,PENDING,,,347.71,218.1,-3.17,-16.99,8.25,121.37,206.92,122.31
AXP,2026-05-20,2026-06-16,2026-06-17,341.39,303.1247,-11.21%,417.9206,303.1247,PENDING,,,342.46,-6.93,-0.03,0.56,10.21,14.42,-9.6,12.22
BBY,2026-02-20,2026-05-28,2026-05-29,73.0282,61.286,-16.08%,96.5125,61.286,PENDING,,,76.89,18.18,-0.95,6.58,23.24,29.0,10.94,17.92
BEN,2026-02-27,2026-04-28,2026-04-29,29.86,26.0167,-12.87%,37.5465,26.0167,PENDING,,,32.65,38.67,0.55,-1.92,3.09,38.67,36.57,48.59
BIIB,2026-03-31,2026-05-13,2026-05-14,200.25,179.9904,-10.12%,240.7692,179.9904,PENDING,,,201.96,14.76,1.19,1.66,4.6,6.76,15.6,59.89
BNY,2026-04-29,2026-05-21,2026-05-22,139.59,130.9471,-6.19%,156.8758,130.9471,PENDING,,,145.43,26.33,1.3,-0.44,3.11,23.75,25.07,62.46
CAH,2026-03-06,2026-06-25,,,215.6991,,,,PENDING,,,234.75,14.8,0.75,3.74,17.16,11.36,14.96,44.57
CARR,2026-03-06,2026-06-04,2026-06-05,67.66,57.9185,-14.40%,87.1431,57.9185,PENDING,,,76.0,44.96,2.62,9.37,17.12,28.73,43.98,6.43
CAT,2026-06-10,2026-06-17,2026-06-18,979.0,855.2696,-12.64%,1226.4608,855.2696,PENDING,,,1057.01,85.3,6.29,10.58,16.34,47.28,82.26,186.43
CFG,2026-02-12,2026-06-23,2026-06-24,69.1,64.2938,-6.96%,78.7124,64.2938,PENDING,,,70.66,22.7,1.73,5.81,11.01,19.77,19.69,69.96
CMI,2026-05-19,2026-06-17,2026-06-18,732.89,650.1552,-11.29%,898.3597,650.1552,PENDING,,,727.59,43.47,4.71,1.37,8.8,31.9,41.03,128.27
CPAY,2026-03-16,2026-06-01,2026-06-02,359.84,305.2405,-15.17%,469.0389,305.2405,PENDING,,,325.81,8.27,-5.36,-7.79,-6.81,11.64,3.77,-1.11
CPT,2026-03-06,2026-06-04,2026-06-05,111.6,104.6474,-6.23%,125.5052,104.6474,PENDING,,,113.59,4.32,2.09,3.88,5.43,17.97,5.82,2.34
D,2026-03-19,2026-05-18,2026-05-19,66.5338,60.3738,-9.26%,78.8537,60.3738,PENDING,,,69.51,21.1,0.36,2.19,4.35,15.74,24.0,29.65
DAL,2026-03-02,2026-05-22,2026-05-26,78.2,62.4139,-20.19%,109.7721,62.4139,PENDING,,,92.11,33.44,1.61,11.99,16.02,35.84,28.51,88.09
DD,2026-06-10,2026-06-18,2026-06-22,141.93,45.0539,-68.26%,335.6822,45.0539,PENDING,,,137.8,251.11,-0.01,187.38,178.61,201.0,240.27,410.28
DOV,2026-01-29,2026-02-03,2026-02-04,211.853,198.4749,-6.31%,238.6092,198.4749,PENDING,,,230.73,18.74,2.86,4.5,7.38,7.5,16.2,29.57
DVA,2026-03-13,2026-05-06,2026-05-07,194.32,146.8105,-24.45%,289.3391,146.8105,PENDING,,,213.36,87.8,0.15,1.32,9.1,37.55,83.13,51.37
ESS,2026-02-12,2026-04-28,2026-04-29,269.33,248.0423,-7.90%,311.9053,248.0423,PENDING,,,285.57,11.4,1.39,4.07,3.0,19.21,11.76,3.85
ETR,2026-03-19,2026-03-27,2026-03-30,110.9346,101.8315,-8.21%,129.1408,101.8315,PENDING,,,115.38,26.34,0.6,4.08,3.05,12.89,26.94,42.62
EW,2026-01-29,2026-05-26,2026-05-27,87.63,80.8594,-7.73%,101.1711,80.8594,PENDING,,,89.72,5.24,0.07,3.51,2.49,8.53,3.69,18.29
FITB,2026-02-23,2026-06-24,2026-06-25,55.26,50.1854,-9.18%,65.4091,50.1854,PENDING,,,56.41,21.6,2.64,7.28,13.23,24.25,19.04,43.96
FTV,2026-03-06,2026-06-09,2026-06-10,62.5285,55.9363,-10.54%,75.7128,55.9363,PENDING,,,61.73,12.04,2.22,1.83,2.44,12.8,11.1,16.43
GE,2026-04-21,2026-06-16,2026-06-17,352.11,286.1246,-18.74%,484.0807,286.1246,PENDING,,,371.36,20.74,1.5,4.01,18.08,25.22,18.3,50.08
GL,2026-03-06,2026-04-23,2026-04-24,154.63,139.4678,-9.81%,184.9544,139.4678,PENDING,,,176.4,26.67,0.43,3.01,12.54,28.58,24.3,44.74
GNRC,2026-06-05,2026-06-22,2026-06-23,282.0,256.1006,-9.18%,333.7987,256.1006,PENDING,,,295.16,116.44,3.88,10.05,7.4,43.87,110.75,117.06
GS,2026-02-13,2026-05-20,2026-05-21,977.9002,866.5516,-11.39%,1200.5974,866.5516,PENDING,,,1065.09,22.35,-1.1,-3.1,7.57,27.08,19.62,64.1
GWW,2026-03-09,2026-05-07,2026-05-08,1237.0681,1089.6978,-11.91%,1531.8089,1089.6978,PENDING,,,1374.78,36.78,2.4,4.86,10.05,28.04,33.37,33.16
HBAN,2026-05-12,2026-06-12,2026-06-15,17.5912,15.4764,-12.02%,21.8207,15.4764,PENDING,,,17.9,5.16,1.82,6.23,12.46,16.23,1.82,14.21
HLT,2026-03-06,2026-04-17,2026-04-20,339.702,291.9461,-14.06%,435.2139,291.9461,PENDING,,,340.55,18.67,-0.84,-2.51,5.17,12.39,16.52,33.34
HST,2026-03-09,2026-04-14,2026-04-15,20.84,18.3579,-11.91%,25.8042,18.3579,PENDING,,,24.98,42.39,1.63,1.46,8.09,29.6,38.16,68.3
HWM,2026-03-12,2026-05-07,2026-05-08,273.42,240.6297,-11.99%,339.0006,240.6297,PENDING,,,273.14,33.36,-1.06,-3.56,4.3,13.1,31.34,55.04
IBKR,2026-02-05,2026-04-15,2026-04-16,80.1188,68.9167,-13.98%,102.5232,68.9167,PENDING,,,92.16,43.61,-0.68,-3.08,11.3,34.32,40.35,79.29
INTC,2026-06-01,2026-06-18,2026-06-22,139.12,106.7823,-23.24%,203.7954,106.7823,PENDING,,,132.87,260.08,0.93,9.72,7.57,181.62,265.33,489.22
JBHT,2026-05-12,2026-05-15,2026-05-18,260.87,234.4079,-10.14%,313.7941,234.4079,PENDING,,,274.68,41.89,2.09,2.78,2.63,31.61,38.16,93.36
JBL,2026-06-05,2026-06-12,2026-06-15,398.11,352.8672,-11.36%,488.5955,352.8672,PENDING,,,374.64,64.39,0.76,-0.09,-1.48,32.3,63.13,76.99
JNJ,2026-06-18,2026-06-25,,,227.849,,,,PENDING,,,244.88,19.64,1.61,4.56,6.39,2.65,19.43,64.92
JPM,2026-03-27,2026-06-16,2026-06-17,332.18,280.513,-15.55%,435.514,280.513,PENDING,,,335.12,5.01,0.5,0.5,9.25,14.02,4.72,21.47
KDP,2026-06-23,2026-06-25,,,30.1335,,,,PENDING,,,32.52,18.1,3.57,5.28,10.05,24.41,17.13,0.18
KEY,2026-05-11,2026-06-11,2026-06-12,22.57,21.058,-6.70%,25.594,21.058,PENDING,,,23.41,15.68,1.25,3.58,8.6,18.21,12.57,45.67
KEYS,2026-03-30,2026-04-08,2026-04-09,318.0,268.0822,-15.70%,417.8355,268.0822,PENDING,,,360.06,77.2,2.49,2.67,1.21,22.84,76.75,118.58
LIN,2026-03-24,2026-04-24,2026-04-27,508.6715,473.9241,-6.83%,578.1661,473.9241,PENDING,,,522.28,23.29,1.27,1.25,1.74,6.42,24.13,14.28
LLY,2026-02-03,2026-06-05,2026-06-08,1159.0,990.4372,-14.54%,1496.1256,990.4372,PENDING,,,1127.6899,5.29,0.93,1.41,5.91,23.28,5.11,45.96
LYV,2026-04-15,2026-05-14,2026-05-15,168.88,155.5255,-7.91%,195.589,155.5255,PENDING,,,175.11,22.88,2.12,2.09,5.16,13.03,23.53,18.49
MAA,2026-03-09,2026-06-05,2026-06-08,137.6,128.3274,-6.74%,156.1452,128.3274,PENDING,,,138.08,1.76,2.72,3.73,5.78,14.91,3.42,-3.18
MAR,2026-03-06,2026-04-17,2026-04-20,374.6205,318.7414,-14.92%,486.3788,318.7414,PENDING,,,378.91,22.61,-1.21,-3.98,1.36,16.18,21.24,42.25
MAS,2026-03-03,2026-06-25,,,67.6673,,,,PENDING,,,79.72,26.76,2.14,9.78,15.7,30.2,25.19,27.33
MDLZ,2026-02-17,2026-05-28,2026-05-29,62.1,58.8321,-5.26%,68.6357,58.8321,PENDING,,,61.2,14.68,-0.87,0.56,-0.07,7.49,14.71,-7.59
MET,2026-02-05,2026-05-20,2026-05-21,82.91,74.576,-10.05%,99.5779,74.576,PENDING,,,84.63,8.8,0.04,-1.42,1.63,21.15,5.58,9.43
MPC,2026-04-08,2026-05-05,2026-05-06,252.0381,229.0866,-9.11%,297.9411,229.0866,PENDING,,,253.56,57.29,2.86,3.66,2.22,5.5,55.25,56.41
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,,59.75,102.61,-1.11,-3.32,27.05,11.6,71.2,122.95
NDSN,2026-05-19,2026-06-09,2026-06-10,289.1108,270.1006,-6.58%,327.1313,270.1006,PENDING,,,304.64,27.46,2.88,5.27,6.14,12.79,25.92,44.66
NTRS,2026-02-12,2026-04-16,2026-04-17,157.9465,141.4125,-10.47%,191.0143,141.4125,PENDING,,,175.97,30.15,1.17,0.58,4.03,26.52,26.75,52.28
NXPI,2026-03-03,2026-04-29,2026-04-30,288.4615,211.8892,-26.55%,441.6062,211.8892,PENDING,,,298.64,38.77,1.56,0.49,-9.92,51.64,31.57,39.75
ORCL,2026-04-09,2026-04-16,2026-04-17,182.93,136.5478,-25.36%,275.6944,136.5478,PENDING,,,152.46,-21.3,-3.22,-16.93,-21.03,4.78,-22.68,-28.47
PG,2026-06-01,2026-06-16,2026-06-17,152.38,139.9998,-8.12%,177.1404,139.9998,PENDING,,,148.5,5.14,-2.33,-1.37,3.88,3.96,5.6,-4.73
PNC,2026-05-11,2026-06-09,2026-06-10,233.0,214.5114,-7.94%,269.9773,214.5114,PENDING,,,245.28,19.32,2.23,5.21,11.08,20.01,16.99,39.29
Q,2026-05-19,2026-06-22,2026-06-23,163.98,141.7226,-13.57%,208.4947,141.7226,PENDING,,,167.49,105.37,5.52,6.87,1.83,39.34,104.76,
RL,2026-05-11,2026-06-12,2026-06-15,413.93,341.7352,-17.44%,558.3195,341.7352,PENDING,,,410.11,16.3,-1.0,1.55,7.42,18.88,12.25,51.54
STX,2026-06-09,2026-06-15,2026-06-16,1043.2861,822.0475,-21.21%,1485.7634,822.0475,PENDING,,,1025.36,273.25,3.23,-3.75,21.32,148.32,264.35,662.46
SWK,2026-03-03,2026-06-25,,,79.5408,,,,PENDING,,,92.31,27.0,2.96,11.93,18.2,29.85,25.37,45.45
TGT,2026-05-07,2026-06-11,2026-06-12,133.45,124.2851,-6.87%,151.7798,124.2851,PENDING,,,139.57,45.6,-1.15,9.2,11.27,21.07,49.5,49.37
TRGP,2026-04-08,2026-04-30,2026-05-01,258.09,238.7178,-7.51%,296.8345,238.7178,PENDING,,,273.45,49.7,2.68,4.87,1.32,11.96,51.21,66.76
TROW,2026-02-03,2026-06-11,2026-06-12,107.8064,99.2168,-7.97%,124.9856,99.2168,PENDING,,,106.34,6.68,1.08,-1.65,3.66,20.13,4.22,17.67
TRV,2026-03-06,2026-06-23,2026-06-24,317.59,298.6628,-5.96%,355.4445,298.6628,PENDING,,,318.29,10.59,-0.76,3.99,4.85,9.99,9.99,21.5
UAL,2026-03-06,2026-06-15,2026-06-16,120.87,91.6805,-24.15%,179.2491,91.6805,PENDING,,,134.605,20.38,3.11,16.21,27.08,44.81,16.02,70.34
USB,2026-02-23,2026-06-25,,,55.2151,,,,PENDING,,,61.21,15.9,1.83,5.7,10.85,19.18,13.8,43.26
VMC,2026-05-13,2026-06-24,2026-06-25,310.65,273.0481,-12.10%,385.8537,273.0481,PENDING,,,312.97,10.16,1.85,6.16,16.37,16.35,7.64,19.19
WAB,2026-05-19,2026-06-22,2026-06-23,271.15,254.5308,-6.13%,304.3884,254.5308,PENDING,,,282.45,32.65,3.66,3.9,8.02,13.88,27.71,37.87
