Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,485.12,99,99,99,99,695.4749755859375,741.8499755859375,694.5499877929688,712.1300048828125
2,MU,Information Technology,Semiconductors,S&P 500,425.39,99,99,99,99,1061.300048828125,1093.6700439453125,1014.1400146484375,1043.18994140625
3,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,381.96,99,99,99,99,1044.25,1094.0,1043.9000244140625,1066.0699462890625
4,LITE,Information Technology,Communications Equipment,S&P 500,355.66,99,99,99,99,879.0800170898438,891.5449829101562,853.780029296875,869.97998046875
5,INTC,Information Technology,Semiconductors,S&P 500,334.21,99,99,95,92,121.83499908447266,125.19999694824219,118.05999755859375,121.0999984741211
6,MRVL,Technology,Semiconductors,Nasdaq 100,316.4,99,98,77,51,292.8900146484375,307.3699951171875,283.3200988769531,289.5400085449219
7,ARM,Technology,Semiconductors,Nasdaq 100,270.8,98,95,61,5,411.8999938964844,444.79998779296875,400.1400146484375,418.8800048828125
8,DELL,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,269.26,98,96,91,58,412.0,431.760009765625,395.5,419.32000732421875
9,AMD,Information Technology,Semiconductors,S&P 500,256.11,98,98,87,96,529.7100219726562,532.5,507.3008117675781,512.47998046875
10,CIEN,Information Technology,Communications Equipment,S&P 500,232.6,98,99,99,99,433.0,449.0,424.3338928222656,436.7200012207031
11,COHR,Information Technology,Electronic Components,S&P 500,232.23,98,98,98,98,387.0199890136719,393.0,376.54998779296875,378.8500061035156
12,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,229.15,97,97,99,97,428.7200012207031,440.7499084472656,408.239990234375,408.55999755859375
13,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,220.38,97,97,98,97,382.0,397.5400085449219,373.239990234375,374.17999267578125
14,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,216.01,97,96,97,93,592.0150146484375,623.3499755859375,590.8250122070312,592.9199829101562
15,HPE,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,194.7,97,94,61,77,49.5,50.45000076293945,47.951698303222656,48.20000076293945
16,FIX,Industrials,Construction & Engineering,S&P 500,193.74,97,97,98,98,1946.4000244140625,1977.47998046875,1924.7249755859375,1931.77001953125
17,GLW,Information Technology,Electronic Components,S&P 500,182.81,96,98,97,95,179.03500366210938,180.82000732421875,172.75010681152344,175.39999389648438
18,ON,Information Technology,Semiconductors,S&P 500,179.15,96,97,75,54,120.23500061035156,121.30000305175781,112.80000305175781,112.91999816894531
19,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,178.32,96,94,95,94,244.8000030517578,251.16000366210938,237.69000244140625,238.72999572753906
20,VRT,Industrials,Electrical Components & Equipment,S&P 500,163.6,96,97,98,92,304.7200012207031,329.69989013671875,303.20001220703125,317.5799865722656
21,MRNA,Health Care,Biotechnology,S&P 500,162.4,96,88,97,65,56.209999084472656,62.29999923706055,54.5099983215332,61.79999923706055
22,SATS,Communication Services,Wireless Telecommunication Services,S&P 500,161.43,95,98,98,99,119.73999786376953,124.19999694824219,110.58000183105469,111.69999694824219
23,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,161.2,95,95,95,93,956.97998046875,975.6400146484375,953.0,955.9199829101562
24,ASML,Technology,Industrial Machinery,Nasdaq 100,158.8,95,91,94,87,1897.199951171875,1938.4898681640625,1865.3199462890625,1867.8299560546875
25,STLD,Materials,Steel,S&P 500,154.94,95,90,75,90,272.29998779296875,276.385009765625,265.20001220703125,270.1300048828125
26,HUM,Health Care,Managed Health Care,S&P 500,151.08,95,88,2,42,367.7300109863281,368.2900085449219,359.45001220703125,362.0
27,DDOG,Information Technology,Application Software,S&P 500,150.06,94,95,44,56,230.0800018310547,235.99989318847656,225.8300018310547,226.6300048828125
28,NUE,Materials,Steel,S&P 500,149.61,94,91,76,84,258.0,258.8399963378906,250.0,252.60000610351562
29,FTNT,Information Technology,Systems Software,S&P 500,146.61,94,92,32,10,145.80499267578125,148.0,141.69000244140625,144.13999938964844
30,KEYS,Information Technology,Electronic Equipment & Instruments,S&P 500,145.39,94,96,96,80,354.42999267578125,357.5799865722656,347.42999267578125,350.70001220703125
31,JBL,Information Technology,Electronic Manufacturing Services,S&P 500,143.89,94,92,87,87,412.3599853515625,428.93218994140625,374.1099853515625,374.9800109863281
32,ALB,Materials,Specialty Chemicals,S&P 500,143.71,93,96,97,98,167.85000610351562,171.0,165.80999755859375,166.55999755859375
33,TXN,Information Technology,Semiconductors,S&P 500,143.29,93,93,54,25,307.1199951171875,311.7300109863281,299.2401123046875,301.8800048828125
34,CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500,142.01,93,91,91,92,714.9199829101562,733.4810180664062,710.6900024414062,717.780029296875
