ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
ADM,2025-10-14,2026-01-13,2026-01-14,63.1639,57.836,-8.44%,73.8198,57.836,PENDING,,
AEE,2025-10-28,2026-02-11,2026-02-12,107.7183,101.8496,-5.45%,119.4556,101.8496,PENDING,,
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,
AES,2025-10-31,2026-02-03,2026-02-04,15.88,13.6423,-14.09%,20.3555,13.6423,PENDING,,
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,
CB,2026-01-05,2026-02-04,2026-02-05,330.0,307.1904,-6.91%,375.6192,307.1904,PENDING,,
CMCSA,2026-01-29,2026-01-30,2026-02-02,29.62,27.8685,-5.91%,33.1231,27.8685,PENDING,,
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,
CTAS,2026-01-28,2026-02-10,2026-02-11,199.0123,188.6252,-5.22%,219.7865,188.6252,PENDING,,
DG,2026-01-30,2026-02-25,2026-02-26,154.5,140.4745,-9.08%,182.551,140.4745,PENDING,,
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,
DOW,2026-02-20,2026-03-11,,,29.1792,,,,PENDING,,
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,
ES,2025-11-06,2026-02-23,2026-02-24,74.0471,69.9873,-5.48%,82.1667,69.9873,PENDING,,
ETN,2025-12-12,2026-02-11,2026-02-12,398.7566,329.4277,-17.39%,537.4144,329.4277,PENDING,,
EVRG,2025-11-03,2026-02-10,2026-02-11,78.0718,74.7565,-4.25%,84.7025,74.7565,PENDING,,
EXC,2025-10-29,2026-02-13,2026-02-17,48.4253,46.2721,-4.45%,52.7319,46.2721,PENDING,,
FANG,2025-12-15,2026-02-04,2026-02-05,164.954,151.5494,-8.13%,191.7633,151.5494,PENDING,,
GEV,2025-10-22,2025-12-10,2025-12-11,710.6268,551.7044,-22.36%,1028.4716,551.7044,PENDING,,
GWW,2025-10-13,2025-12-11,2025-12-12,1039.3451,928.5053,-10.66%,1261.0246,928.5053,PENDING,,
HSIC,2026-01-12,2026-02-09,2026-02-10,80.05,74.6704,-6.72%,90.8093,74.6704,PENDING,,
HSY,2026-01-23,2026-02-04,2026-02-05,217.4223,188.0843,-13.49%,276.0984,188.0843,PENDING,,
IRM,2025-10-14,2026-02-12,2026-02-13,107.0,99.9153,-6.62%,121.1695,99.9153,PENDING,,
KLAC,2025-11-20,2026-01-05,2026-01-06,1367.5331,1096.6408,-19.81%,1909.3176,1096.6408,PENDING,,
LHX,2025-11-24,2026-01-05,2026-01-06,310.5981,272.6801,-12.21%,386.4341,272.6801,PENDING,,
LIN,2025-10-09,2026-02-17,2026-02-18,482.83,456.2256,-5.51%,536.0388,456.2256,PENDING,,
MCD,2026-01-02,2026-02-04,2026-02-05,323.2741,300.9971,-6.89%,367.8282,300.9971,PENDING,,
MNST,2025-12-11,2025-12-22,2025-12-23,77.82,72.2784,-7.12%,88.9031,72.2784,PENDING,,
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,
NEE,2025-11-21,2026-01-27,2026-01-28,87.1259,81.6292,-6.31%,98.1193,81.6292,PENDING,,
NEM,2025-10-27,2025-12-11,2025-12-12,101.9237,77.2923,-24.17%,151.1866,77.2923,PENDING,,
NOC,2025-11-10,2026-01-14,2026-01-15,638.3256,555.0568,-13.04%,804.8633,555.0568,PENDING,,
NSC,2025-10-13,2026-02-04,2026-02-05,307.06,286.4921,-6.70%,348.1958,286.4921,PENDING,,
OMC,2026-01-28,2026-02-20,2026-02-23,83.83,76.285,-9.00%,98.9201,76.285,PENDING,,
PFE,2026-02-03,2026-02-06,2026-02-09,27.18,25.3501,-6.73%,30.8398,25.3501,PENDING,,
PHM,2025-12-19,2026-01-09,2026-01-12,131.76,119.4097,-9.37%,156.4605,119.4097,PENDING,,
PPL,2025-10-29,2026-02-24,2026-02-25,37.7769,35.8358,-5.14%,41.659,35.8358,PENDING,,
Q,2025-12-15,2026-02-10,2026-02-11,110.5491,76.4433,-30.85%,178.7606,76.4433,PENDING,,
REG,2025-10-13,2026-01-30,2026-02-02,72.94,69.173,-5.16%,80.474,69.173,PENDING,,
ROL,2025-10-28,2025-11-04,2025-11-05,59.5423,54.8324,-7.91%,68.9622,54.8324,PENDING,,
RTX,2026-02-25,2026-03-02,2026-03-03,213.01,193.7801,-9.03%,251.4698,193.7801,PENDING,,
SLB,2025-12-16,2026-01-05,2026-01-06,44.0204,37.3466,-15.16%,57.3681,37.3466,PENDING,,
SRE,2025-11-03,2026-02-26,2026-02-27,96.18,89.7176,-6.72%,109.1048,89.7176,PENDING,,
TPR,2026-01-20,2026-02-05,2026-02-06,145.0411,127.958,-11.78%,179.2074,127.958,PENDING,,
TSN,2026-01-05,2026-01-20,2026-01-21,60.6399,56.3948,-7.00%,69.1301,56.3948,PENDING,,
TT,2025-12-12,2026-02-09,2026-02-10,459.4517,389.3621,-15.26%,599.6311,389.3621,PENDING,,
ULTA,2025-10-29,2025-12-05,2025-12-08,611.84,502.1891,-17.92%,831.1419,502.1891,PENDING,,
UNP,2025-10-23,2025-12-12,2025-12-15,238.7523,217.5285,-8.89%,281.1999,217.5285,PENDING,,
VICI,2026-01-28,2026-02-09,2026-02-10,29.12,27.8239,-4.45%,31.7121,27.8239,PENDING,,
VLO,2025-12-12,2026-01-08,2026-01-09,191.49,166.9455,-12.82%,240.5791,166.9455,PENDING,,
XEL,2025-10-29,2026-02-23,2026-02-24,83.32,78.3936,-5.91%,93.1729,78.3936,PENDING,,
ZBH,2026-01-13,2026-02-18,2026-02-19,98.25,88.2677,-10.16%,118.2146,88.2677,PENDING,,
